  d            Bxx          Bxxerr       Byy          Byyerr       Bxxxx        Bxxxxerr     Byyxx        Byyxxerr     Bxyxy        Bxyxyerr     Cxxxx        Cxxxxerr     Cyyxx        Cyyxxerr     Cxyxy        Cxyxyerr     nu           nuerr
  2.10000000 -19.03036556   0.00001376 -19.03041259   0.00001367 196.82478277   0.00701716  94.88876134   0.00697146  50.82671749   0.04397237 215.85514833   0.00703091  75.85839578   0.00698521  69.85708305   0.04398612   1.08590844   0.00078374
  2.20000000 -10.91136559   0.00002664 -10.91136922   0.00002598  68.26293775   0.01358908  38.11412642   0.01324810  15.06824378   0.00278588  79.17430334   0.01361572  27.20276082   0.01327474  25.97960937   0.00281252   1.04708121   0.00062432
  2.30000000  -7.43032199   0.00000039  -7.43032187   0.00000031  36.03917753   0.00020044  21.71337169   0.00015940   7.16288227   0.00007118  43.46949952   0.00020084  14.28304970   0.00015979  14.59320426   0.00007157   0.97874664   0.00001575
  2.40000000  -5.46429236   0.00000211  -5.46429218   0.00000213  22.65236117   0.00107787  14.28835128   0.00108796   4.18199458   0.00004316  28.11665353   0.00107998   8.82405892   0.00109008   9.64628694   0.00004527   0.91476223   0.00011730
  2.50000000  -4.20192118   0.00016492  -4.20191985   0.00016459  15.57368019   0.08411572  10.08362349   0.08394336   2.74503358   0.00008794  19.77560137   0.08428064   5.88170231   0.08410828   6.94695477   0.00025286   0.84665908   0.01213803
  2.60000000  -3.32638482   0.00001042  -3.32638505   0.00001049  11.55034579   0.00531501   7.66215403   0.00535145   1.94408576   0.00002236  14.87673061   0.00532543   4.33576921   0.00536188   5.27047058   0.00003278   0.82265315   0.00102246
  2.70000000  -2.68797954   0.00000003  -2.68797956   0.00000003   8.88198386   0.00001289   5.97971198   0.00001503   1.45112191   0.00000829  11.56996341   0.00001291   3.29173244   0.00001505   4.13910145   0.00000832   0.79527706   0.00000523
  2.80000000  -2.20529551   0.00000040  -2.20529550   0.00000040   7.04339410   0.00020497   4.79204809   0.00020493   1.12566627   0.00000898   9.24868961   0.00020537   2.58675258   0.00020533   3.33096178   0.00000938   0.77657828   0.00006383
  2.90000000  -1.83034825   0.00000061  -1.83034828   0.00000059   5.72511261   0.00031213   3.92710284   0.00030046   0.89900894   0.00000588   7.55546085   0.00031274   2.09675460   0.00030107   2.72935718   0.00000649   0.76822287   0.00011214
  3.00000000  -1.53272540   0.00000001  -1.53272541   0.00000001   4.72476610   0.00000303   3.25620990   0.00000271   0.73427837   0.00000466   6.25749150   0.00000304   1.72348449   0.00000271   2.26700377   0.00000467   0.76024774   0.00000276
  3.10000000  -1.29288605   0.00001320  -1.29288606   0.00001324   3.97355082   0.00673333   2.75239860   0.00675295   0.61058627   0.00000173   5.26643687   0.00674653   1.45951255   0.00676616   1.90347233   0.00001493   0.76676321   0.00356065
  3.20000000  -1.09673657   0.00000001  -1.09673657   0.00000001   3.35670934   0.00000357   2.32676088   0.00000423   0.51497577   0.00000115   4.45344591   0.00000358   1.23002432   0.00000424   1.61171234   0.00000115   0.76317857   0.00000318
  3.30000000  -0.93483686   0.00000000  -0.93483686   0.00000000   2.87096595   0.00000084   1.99207977   0.00000102   0.43944523   0.00000080   3.80580281   0.00000084   1.05724291   0.00000103   1.37428209   0.00000080   0.76930561   0.00000120
  3.40000000  -0.79997566   0.00000000  -0.79997566   0.00000000   2.47359873   0.00000062   1.71642802   0.00000097   0.37858748   0.00000084   3.27357438   0.00000062   0.91645236   0.00000097   1.17856313   0.00000085   0.77760141   0.00000138
  3.50000000  -0.68682854   0.00000000  -0.68682854   0.00000000   2.14400645   0.00000056   1.48653064   0.00000067   0.32873831   0.00000083   2.83083499   0.00000056   0.79970210   0.00000067   1.01556685   0.00000083   0.78744408   0.00000131
  3.60000000  -0.59137919   0.00000016  -0.59137918   0.00000018   1.86843680   0.00008324   1.29373377   0.00009305   0.28735034   0.00000075   2.45981598   0.00008340   0.70235458   0.00009321   0.87872952   0.00000091   0.79928415   0.00010690
  3.70000000  -0.51034679   0.00000006  -0.51034679   0.00000006   1.63355664   0.00002895   1.12850857   0.00002830   0.25252300   0.00000083   2.14390343   0.00002901   0.61816178   0.00002836   0.76286978   0.00000088   0.81031100   0.00003812
  3.80000000  -0.44134029   0.00000004  -0.44134029   0.00000004   1.43320560   0.00001832   0.98732087   0.00001882   0.22294202   0.00000089   1.87454589   0.00001836   0.54598058   0.00001886   0.66428231   0.00000092   0.82191046   0.00002953
  3.90000000  -0.38235717   0.00000001  -0.38235717   0.00000001   1.26103459   0.00000647   0.86585951   0.00000660   0.19758781   0.00000027   1.64339176   0.00000648   0.48350234   0.00000662   0.57994498   0.00000028   0.83370381   0.00001182
  4.00000000  -0.33178530   0.00000000  -0.33178530   0.00000000   1.11219541   0.00000128   0.76082575   0.00000106   0.17568509   0.00000021   1.44398071   0.00000128   0.42904045   0.00000106   0.50747039   0.00000021   0.84544924   0.00000245
  4.10000000  -0.28831062   0.00000000  -0.28831062   0.00000000   0.98285623   0.00000096   0.66958360   0.00000105   0.15663877   0.00000394   1.27116685   0.00000097   0.38127299   0.00000105   0.44494939   0.00000394   0.85689069   0.00000995
  4.20000000  -0.25085178   0.00000000  -0.25085178   0.00000000   0.87000181   0.00000021   0.59005435   0.00000018   0.13997385   0.00000014   1.12085359   0.00000021   0.33920256   0.00000018   0.39082563   0.00000014   0.86791279   0.00000079
  4.30000000  -0.21851198   0.00000000  -0.21851198   0.00000000   0.77119993   0.00000018   0.52054931   0.00000021   0.12532726   0.00000155   0.98971191   0.00000018   0.30203733   0.00000021   0.34383924   0.00000155   0.87842601   0.00000457
