#  d            Bxx          Bxxerr       Byy          Byyerr       Bxxxx        Bxxxxerr     Byyxx        Byyxxerr     Bxyxy        Bxyxyerr     Cxxxx        Cxxxxerr     Cyyxx        Cyyxxerr     Cxyxy        Cxyxyerr     nu           nuerr
  2.10000000 -11.80229962   0.00002317 -11.80235148   0.00000987 151.93816806   0.01181611  14.78015215   0.00503529  -4.15856679   0.66324040 163.74046767   0.01183928   2.97785253   0.00505846   7.64373283   0.66326356   0.38958093   0.03446658
  2.20000000  -7.09394005   0.00030733  -7.09395913   0.00027557  54.15177104   0.15674885   9.15305938   0.14054758  -1.96134402   0.32286205  61.24571109   0.15705619   2.05911933   0.14085491   5.13259602   0.32316938   0.40118477   0.05270346
  2.30000000  -4.98604447   0.00013035  -4.98604468   0.00013474  29.35762841   0.06648137   6.41602781   0.06872034  -1.72862673   0.05880488  34.34367289   0.06661172   1.42998333   0.06885069   3.25741774   0.05893523   0.43899292   0.02907912
  2.40000000  -3.74568650   0.00003719  -3.74569736   0.00003827  18.92380124   0.01896714   4.86916558   0.01952048  -1.21845575   0.09765998  22.66948775   0.01900433   1.12347908   0.01955767   2.52723075   0.09769717   0.44454946   0.02492408
  2.50000000  -2.92153452   0.00000109  -2.92153228   0.00000107  13.35086508   0.00055674   3.79618157   0.00054460  -0.83533590   0.01832423  16.27239960   0.00055784   0.87464705   0.00054569   2.08619862   0.01832532   0.41925397   0.00394433
  2.60000000  -2.33488845   0.00001375  -2.33488795   0.00001343   9.98775317   0.00701063   3.05353463   0.00684909  -0.56343814   0.02364855  12.32264162   0.00702438   0.71864618   0.00686283   1.77145031   0.02366229   0.40568238   0.00929307
  2.70000000  -1.89811668   0.00004181  -1.89811640   0.00004141   7.77356747   0.02132578   2.50352793   0.02111986  -0.48774872   0.02064741   9.67168414   0.02136759   0.60541125   0.02116167   1.41036796   0.02068922   0.42925766   0.02130131
  2.80000000  -1.56220912   0.00000109  -1.56220066   0.00000100   6.21465327   0.00055604   2.07551867   0.00051223  -0.40699377   0.01501444   7.77686240   0.00055713   0.51330954   0.00051332   1.15521535   0.01501553   0.44434100   0.00621991
  2.90000000  -1.29822297   0.00001215  -1.29822329   0.00001191   5.09065864   0.00619788   1.75315709   0.00607390  -0.43576536   0.02494997   6.38888162   0.00621004   0.45493412   0.00608605   0.86245761   0.02496212   0.52748578   0.02232366
  3.00000000  -1.08676745   0.00000120  -1.08676656   0.00000049   4.21743664   0.00060952   1.47347083   0.00024974  -0.30726408   0.01420664   5.30420410   0.00061072   0.38670338   0.00025093   0.77950337   0.01420784   0.49608942   0.00936403
  3.10000000  -0.91523238   0.00000061  -0.91523373   0.00000069   3.54587487   0.00031101   1.25490085   0.00035205  -0.32848343   0.02991733   4.46110725   0.00031162   0.33966846   0.00035266   0.58674895   0.02991794   0.57889914   0.03011872
  3.20000000  -0.77452114   0.00000140  -0.77452197   0.00000094   3.00960783   0.00071313   1.07473944   0.00047771  -0.24447499   0.02003905   3.78412897   0.00071452   0.30021830   0.00047911   0.53004615   0.02004045   0.56640031   0.02231885
  3.30000000  -0.65806712   0.00000024  -0.65806760   0.00000013   2.57799345   0.00012150   0.92196146   0.00006412  -0.18582595   0.00281418   3.23606057   0.00012174   0.26389435   0.00006436   0.47224117   0.00281442   0.55881267   0.00346665
  3.40000000  -0.56103831   0.00000032  -0.56103859   0.00000012   2.22161397   0.00016109   0.79462115   0.00006139  -0.16380675   0.00570853   2.78265228   0.00016141   0.23358284   0.00006170   0.39723157   0.00570885   0.58802688   0.00860622
  3.50000000  -0.47964199   0.00000046  -0.47964250   0.00000043   1.92355391   0.00023550   0.68580598   0.00021711  -0.15176506   0.00706049   2.40319590   0.00023596   0.20616399   0.00021757   0.32787693   0.00706096   0.62878469   0.01420469
  3.60000000  -0.41107727   0.00000025  -0.41107695   0.00000023   1.67332404   0.00012585   0.59284434   0.00011739  -0.13709278   0.00734260   2.08440130   0.00012610   0.18176707   0.00011763   0.27398448   0.00734285   0.66342103   0.01820918
  3.70000000  -0.35307603   0.00000056  -0.35307678   0.00000038   1.46088963   0.00028724   0.51308387   0.00019381  -0.11305507   0.00531562   1.81396565   0.00028780   0.16000785   0.00019437   0.24002095   0.00531618   0.66664116   0.01557512
  3.80000000  -0.30383652   0.00000006  -0.30383656   0.00000010   1.27921396   0.00002937   0.44461144   0.00005104  -0.09878803   0.00172988   1.58305048   0.00002943   0.14077492   0.00005110   0.20504849   0.00172994   0.68654453   0.00604140
  3.90000000  -0.26191311   0.00000016  -0.26191283   0.00000009   1.12294164   0.00008287   0.38560323   0.00004771  -0.09007305   0.00286447   1.38485475   0.00008304   0.12369013   0.00004787   0.17184006   0.00286464   0.71979800   0.01227787
  4.00000000  -0.22612357   0.00000017  -0.22612319   0.00000015   0.98784697   0.00008746   0.33446483   0.00007694  -0.08327771   0.00335744   1.21397053   0.00008763   0.10834127   0.00007711   0.14284585   0.00335761   0.75844881   0.01836725
  4.10000000  -0.19550018   0.00000016  -0.19549980   0.00000015   0.87076945   0.00008128   0.29044164   0.00007566  -0.07404003   0.00226026   1.06626963   0.00008144   0.09494145   0.00007582   0.12146015   0.00226041   0.78166750   0.01517136
  4.20000000  -0.16924420   0.00000012  -0.16924427   0.00000009   0.76852832   0.00006130   0.25222769   0.00004769  -0.06911178   0.00354088   0.93777252   0.00006142   0.08298349   0.00004781   0.10013243   0.00354100   0.82873743   0.02978422
  4.30000000  -0.14669138   0.00000024  -0.14669163   0.00000019   0.67929508   0.00012199   0.21911219   0.00009725  -0.06179383   0.00414327   0.82598646   0.00012223   0.07242081   0.00009749   0.08489755   0.00414351   0.85303771   0.04278175
  4.40000000  -0.12728854   0.00000017  -0.12728865   0.00000015   0.60106936   0.00008718   0.19047828   0.00007778  -0.05069545   0.00227117   0.72835790   0.00008735   0.06318974   0.00007795   0.07659310   0.00227134   0.82500567   0.02548302
  4.50000000  -0.11056937   0.00000013  -0.11056936   0.00000011   0.53261119   0.00006514   0.16550023   0.00005762  -0.05241015   0.00383123   0.64318057   0.00006526   0.05493086   0.00005775   0.05815923   0.00383136   0.94449093   0.06321318
  4.60000000  -0.09614267   0.00000009  -0.09614256   0.00000018   0.47232075   0.00004703   0.14391033   0.00009363  -0.04114944   0.00212791   0.56846342   0.00004713   0.04776766   0.00009372   0.05499323   0.00212800   0.86860985   0.03531563
  4.70000000  -0.08367794   0.00000015  -0.08367790   0.00000015   0.41917821   0.00007505   0.12513350   0.00007466  -0.03721475   0.00091936   0.50285615   0.00007520   0.04145556   0.00007481   0.04646319   0.00091950   0.89222379   0.01926711
  4.80000000  -0.07289543   0.00000013  -0.07289557   0.00000013   0.37225720   0.00006518   0.10886647   0.00006828  -0.03426692   0.00120263   0.44515264   0.00006531   0.03597104   0.00006840   0.03862851   0.00120276   0.93120455   0.03076538
